id_igra,start,end,id_met,province,city,lat_y,lon_y,id_cmonoc,lat_z,lon_z,distance
CHM00056137,1957.0,2020.0,56137.0,西藏,昌都,31.09,97.1,xzcd,31.135,97.1735,0.0862
CHM00059758,1956.0,2020.0,59758.0,海南,海口,20.0,110.15,hihk,19.9944,110.247,0.0971
CHM00054857,1956.0,2020.0,54857.0,山东,青岛,36.04,120.2,sdqd,36.0767,120.3039,0.1102
CHM00052836,1956.0,2020.0,52836.0,青海,都兰,36.18,98.06,qhdl,36.2963,98.0965,0.1219
CHM00057957,1957.0,2020.0,57957.0,广西,桂林,25.19,110.18,gxgl,25.1864,110.3064,0.1264
CHM00058362,1956.0,2020.0,58362.0,上海,宝山,31.24,121.27,shao,31.0996,121.2004,0.1566
CHM00059134,1958.0,2020.0,59134.0,福建,厦门,24.29,118.04,xiam,24.4499,118.0826,0.1654
CHM00058150,1964.0,2020.0,58150.0,江苏,射阳,33.45,120.18,jsyc,33.3762,120.0192,0.177
CHM00059431,1956.0,2020.0,59431.0,广西,南宁,22.38,108.13,gxnn,22.568,108.147,0.1888
CHM00059265,1957.0,2020.0,59265.0,广西,梧州,23.29,111.18,gxwz,23.4802,111.2335,0.1976
CHM00055299,1957.0,2020.0,55299.0,西藏,那曲,31.29,92.04,xznq,31.4919,92.1086,0.2132
CHM00057447,1959.0,2020.0,57447.0,湖北,恩施,30.17,109.28,hbes,30.2764,109.4949,0.2398
CHM00053336,1973.0,2020.0,53336.0,内蒙古,乌拉特中旗,41.34,108.31,nmwj,41.2993,108.0731,0.2403
CHM00056146,1957.0,2020.0,56146.0,四川,甘孜,31.37,100.0,scgz,31.6103,100.0188,0.2411
CHM00052818,1957.0,2020.0,52818.0,青海,格尔木,36.25,94.55,qhge,36.1453,94.7717,0.2452
CHM00052681,1957.0,2020.0,52681.0,甘肃,民勤,38.38,103.05,gsmq,38.6324,103.088,0.2552
CHM00057816,1956.0,2020.0,57816.0,贵州,贵阳,26.35,106.44,gzgy,26.4725,106.6689,0.2597
CHM00059316,1957.0,2020.0,59316.0,广东,汕头,23.24,116.41,gdst,23.4179,116.6031,0.2625
CHM00053614,1957.0,2020.0,53614.0,宁夏,银川,38.28,106.12,nxyc,38.4942,106.2737,0.2636
CHM00053463,1956.0,2020.0,53463.0,内蒙古,呼和浩特,40.51,111.34,nmtk,40.2612,111.2515,0.2641
CHM00059023,1973.0,2020.0,59023.0,广西,河池,24.42,108.02,gxhc,24.695,108.0391,0.2756
CHM00054727,2003.0,2020.0,54727.0,山东,章丘,36.41,117.33,tain,36.2145,117.1231,0.2847
CHM00053915,1959.0,2020.0,53915.0,甘肃,崆峒,35.33,106.4,gspl,35.5478,106.5863,0.2866
CHM00057083,1956.0,2020.0,57083.0,河南,郑州,34.43,113.39,zhnz,34.5207,113.1049,0.2992
CHM00050953,1958.0,2020.0,50953.0,黑龙江,哈尔滨,45.56,126.34,hrbn,45.7026,126.6204,0.3146
CHM00057127,1959.0,2020.0,57127.0,陕西,汉中,33.04,107.02,snmx,33.1264,106.6881,0.343
CHM00050527,1956.0,2020.0,50527.0,内蒙古,海拉尔,49.15,119.42,hlar,49.2705,119.7413,0.3431
CHM00053772,1956.0,2020.0,53772.0,山西,太原,37.37,112.35,sxty,37.7115,112.4326,0.3514
CHM00052533,1956.0,2020.0,52533.0,甘肃,酒泉,39.46,98.29,gsjy,39.8084,98.2154,0.3563
CHM00052866,1958.0,2020.0,52866.0,青海,西宁,36.44,101.45,xnin,36.6007,101.7744,0.362
CHM00057494,1946.0,2020.0,57494.0,湖北,武汉,30.36,114.03,wuhn,30.5317,114.3573,0.3696
CHM00059280,1997.0,2020.0,59280.0,广东,清远,23.43,113.05,guan,23.1848,113.3397,0.3795
