id_cmonoc,lat,lon,alt
ahaq,30.6168994,116.9905621,58.6571
ahbb,32.9045991,117.2962554,54.2041
bjfs,39.6086012,115.8924902,87.4680
bjgb,40.6923170,117.1580079,213.0154
bjsh,40.2505348,116.2237580,155.4269
bjyq,40.3703736,115.9678450,584.7222
chan,43.7906857,125.4442023,273.2470
chun,43.7903439,125.4441253,268.3398
cqcs,29.9052256,107.2322612,361.4485
cqwz,30.7699458,108.4902413,240.8792
dlha,37.3805198,97.3777602,2955.7797
dxin,40.9837343,100.2005584,1017.9700
fjpt,25.5021578,119.7687132,35.5676
fjwy,27.6168989,117.9850564,228.1509
fjxp,26.8770095,120.0185647,80.5860
gdsg,24.8461477,113.5877179,169.3665
gdst,23.4178813,116.6030696,31.7958
gdzh,22.2753044,113.5668873,51.3639
gdzj,21.1548573,110.3039639,39.1895
gsax,40.5161777,95.7611904,1112.9710
gsdh,40.1434832,94.6846039,1080.0767
gsdx,35.5543125,104.6046123,1881.0358
gsgl,37.4547682,102.8894357,2062.0266
gsgt,39.4099204,99.8135195,1299.0025
gsjn,35.5266959,105.7595024,1649.2597
gsjt,37.1806171,104.0570581,1603.7767
gsjy,39.8083871,98.2154200,1675.2748
gslx,34.9949652,104.6463857,1693.5570
gslz,36.0784165,103.6713439,1560.5068
gsma,34.0196247,102.0582528,3562.8428
gsml,38.4410953,100.8176626,2240.4700
gsmq,38.6323970,103.0880387,1320.0486
gsmx,34.4300214,104.0229519,2291.0146
gspl,35.5477544,106.5863223,1409.5268
gsqs,34.7456359,106.2118629,1447.5889
gsts,34.4845086,105.9053067,1123.4364
gswd,33.4228034,104.8151203,1001.9891
guan,23.1847928,113.3396994,30.9057
gxbh,21.6525410,109.2124136,28.6162
gxbs,23.9172221,106.6706770,246.8288
gxgl,25.1863627,110.3063879,149.0573
gxhc,24.6949729,108.0390830,229.9172
gxnn,22.5679929,108.1469838,97.9137
gxwz,23.4802268,111.2335034,63.6565
gzfg,27.9805479,107.7264379,679.8867
gzgy,26.4725155,106.6689304,1093.9359
gzsc,26.5858819,104.8626547,1789.3115
hahb,35.6584682,114.5191290,46.5754
hajy,35.1625654,112.4474762,272.9826
haqs,32.8451411,114.0265448,72.0811
hbes,30.2764286,109.4949170,473.2064
hbjm,31.1183406,112.1688656,164.7578
hbxf,32.0026946,112.0415569,99.5196
hbzg,30.8348447,110.9652707,209.9977
hecc,40.8837555,115.8404111,863.0024
hecd,41.0163238,117.9179361,410.8253
hecx,38.4648185,116.9309076,2.5656
helq,38.2474496,114.3092415,123.8941
hely,37.3987763,114.7073165,30.3500
hets,39.7358030,118.2953567,55.4359
heyy,40.1272904,114.1559395,951.9794
hezj,40.8280926,114.9001931,833.2214
hihk,19.9944177,110.2469849,55.2401
hisy,18.2357788,109.5305549,46.9691
hiys,9.5389788,112.8803867,35.7372
hlar,49.2704929,119.7412581,628.6917
hlfy,48.3669949,134.2771558,134.1858
hlhg,47.3527576,130.2356295,210.7098
hlmh,52.9750838,122.5127168,439.6051
hlwd,48.6714136,126.1361740,313.9636
hncs,28.1585615,113.0379647,53.0702
hnly,28.1561864,113.6307294,89.0343
hnmy,27.8780259,109.7965263,145.5146
hrbn,45.7026119,126.6203703,198.2265
jixn,40.0760447,117.5304816,38.9372
jlcb,42.4105529,128.1059323,762.4047
jlcl,44.5545739,123.5199077,156.1218
jlyj,42.8747913,129.5045074,284.5617
jsls,31.3488944,119.4188661,34.3665
jsly,34.7220751,119.4674309,138.9844
jsnt,31.9528159,120.8896891,16.5150
jsyc,33.3762231,120.0191524,12.7216
jxhk,29.7329340,116.2390578,36.0666
jxja,26.7480173,115.0580475,89.5044
kmin,25.0295134,102.7978122,1986.1645
lalb,19.8982695,102.1654001,270.5590
lalx,18.1919378,104.9782386,506.2579
lhas,29.6573423,91.1039957,3624.6100
lhaz,29.6573335,91.1040304,3624.6088
lndd,40.0316178,124.3272501,31.7573
lnhl,40.6876901,120.8518022,42.4976
lnjz,39.0918084,121.7401071,67.5376
lnsy,41.8270792,123.5794766,69.8468
lnyk,40.6835390,122.6030449,105.6415
luzh,28.8724241,105.4136079,298.1754
mmmz,25.4347895,97.4504085,215.2133
mmns,20.8962957,97.7713519,979.3452
nmag,43.3034855,122.6272251,214.8031
nmal,43.8633532,120.1129086,377.6935
nmay,39.2084398,101.6785800,1466.0319
nmaz,38.8143547,105.6684392,1482.2070
nmbt,40.6037359,110.0213490,1053.8683
nmdw,45.5131053,116.9630271,834.2101
nmej,41.9566524,101.0600867,889.2520
nmel,43.6348783,111.9421520,946.1803
nmer,50.5764210,123.7271962,429.7585
nmtk,40.2611835,111.2515457,1006.0719
nmwh,39.6638325,106.8386882,1122.0510
nmwj,41.2993441,108.0731303,1041.6166
nmwl,46.0406372,122.0272765,354.1417
nmwt,41.0787334,107.0612355,998.8358
