id_igra,wmo,lat,lon,alt,state,name,start,end,total
ACM00078861,78861,17.117,-61.783,10.0,  ,COOLIDGE FIELD (UA),1947,1993,13896
AEM00041217,41217,24.4333,54.65,16.0,  ,ABU DHABI INTERNATIONAL AIRPOR,1983,2020,37208
AEXUAE05467,05467,25.25,55.37,4.0,  ,SHARJAH,1935,1942,2477
AFM00040911,40911,36.7,67.2,378.0,  ,MAZAR-I-SHARIF,2010,2014,2179
AFM00040913,40913,36.6667,68.9167,433.0,  ,KUNDUZ,2010,2013,4540
AFM00040938,40938,34.217,62.217,977.0,  ,HERAT,1978,1988,1107
AFM00040948,40948,34.55,69.2167,1791.0,  ,KABUL AIRPORT,1961,2020,18699
AFM00040990,40990,31.5,65.85,1010.0,  ,KANDAHAR AIRPORT,1976,2014,5934
AGM00060355,60355,36.883,6.9,3.0,  ,SKIKDA,1974,1976,639
AGM00060360,60360,36.833,7.817,4.0,  ,ANNABA,1973,2008,30088
AGM00060390,60390,36.6833,3.2167,25.0,  ,DAR-EL-BEIDA,1948,2020,68851
AGM00060402,60402,36.717,5.067,6.0,  ,BEJAIA-AEROPORT,1973,1988,12372
AGM00060419,60419,36.283,6.617,694.0,  ,CONSTANTINE,1973,2008,21262
AGM00060425,60425,36.217,1.333,141.0,  ,CHLEF,1973,1977,3213
AGM00060430,60430,36.3,2.233,715.0,  ,MILIANA,1973,1990,14988
AGM00060445,60445,36.183,5.25,1040.0,  ,SETIF,1983,1989,5598
AGM00060475,60475,35.417,8.117,811.0,  ,TEBESSA,1974,1991,6009
AGM00060490,60490,35.633,-0.6,90.0,  ,ORAN-SENIA,1973,2008,38241
AGM00060511,60511,35.35,1.467,989.0,  ,TIARET,1987,1988,280
AGM00060525,60525,34.8,5.733,87.0,  ,BISKRA,1973,2002,19871
AGM00060535,60535,34.6833,3.25,1144.0,  ,DJELFA,1974,1989,9814
AGM00060549,60549,33.5333,-0.2833,1123.0,  ,MECHERIA,1982,2012,6933
