id_cmonoc,lat,lon,id_met,province,city,lat_y,lon_y,distance
hbxf,32.0026946,112.04155690000002,57278.0,湖北,襄阳,32.0,112.05,0.0089
xiam,24.4498566,118.0826075,59130.0,福建,同安,24.44,118.09,0.0123
gdst,23.4178813,116.6030696,59313.0,广东,饶平,23.41,116.59,0.0153
helq,38.2474496,114.3092415,53688.0,河北,行唐,38.25,114.33,0.0209
gsma,34.0196247,102.05825279999999,56074.0,甘肃,玛曲,34.0,102.05,0.0213
xjsh,44.2080744,86.1060895,51359.0,新疆,玛纳斯,44.19,86.12,0.0228
hihk,19.9944177,110.24698490000002,59757.0,海南,琼山,20.0,110.22,0.0276
scsm,29.2293782,102.3536781,56376.0,四川,汉源,29.21,102.38,0.0327
qhtr,35.5160415,102.0098828,52963.0,青海,尖扎,35.56,102.01,0.044
sha2,31.099642499999998,121.200448,58361.0,上海,闵行,31.06,121.22,0.0442
shao,31.0996422,121.200449,58361.0,上海,闵行,31.06,121.22,0.0442
sxcz,36.2246045,113.1801135,53880.0,山西,潞城,36.2,113.14,0.0471
nxyc,38.4941681,106.2737227,53603.0,宁夏,沙湖,38.5,106.22,0.054
sdly,35.0003049,118.28799769999999,54938.0,山东,临沂,35.03,118.24,0.0564
sdqd,36.0766992,120.3038936,54853.0,山东,崂山,36.1,120.25,0.0587
sclt,29.9916473,100.2180997,56257.0,四川,理塘,30.0,100.16,0.0587
jixn,40.076044700000004,117.53048159999999,54429.0,河北,遵化,40.12,117.57,0.0591
sdjx,35.426969899999996,116.3505855,54912.0,山东,汶上,35.46,116.3,0.0604
sxlf,36.0842176,111.3714031,53866.0,山西,洪洞,36.14,111.4,0.0627
ynws,23.4131401,104.2486944,56991.0,云南,砚山,23.37,104.2,0.0651
scju,28.179172499999996,104.5157292,56499.0,四川,珙县,28.23,104.47,0.0684
sdrc,37.1702412,122.4207622,54776.0,山东,成山头,37.24,122.42,0.0698
scmn,28.332847499999996,102.1738501,56474.0,四川,冕宁,28.33,102.1,0.0739
guan,23.1847928,113.3396994,59287.0,广东,广州,23.13,113.29,0.074
gsjt,37.180617100000006,104.05705809999999,52797.0,甘肃,景泰,37.11,104.03,0.0756
